CODMEC;ANO;DEP;NOME;SETEDU;DISTRITO07;SUBPREF;CORED;ZONA;EFABAND9ANOS1S;EFABAND9ANOS2S;EFABAND9ANOS3S;EFABAND9ANOS4S;EFABAND9ANOS5S;EFABAND9ANOS6S;EFABAND9ANOS7S;EFABAND9ANOS8S;EFABAND9ANOS9S;EFABAND1S;EFABAND2S;EFABAND3S;EFABAND4S;EFABAND5S;EFABAND6S;EFABAND7S;EFABAND8S;TOTALEF_ABAND;EFAPROV9ANOS1S;EFAPROV9ANOS2S;EFAPROV9ANOS3S;EFAPROV9ANOS4S;EFAPROV9ANOS5S;EFAPROV9ANOS6S;EFAPROV9ANOS7S;EFAPROV9ANOS8S;EFAPROV9ANOS9S;EFAPROV1S;EFAPROV2S;EFAPROV3S;EFAPROV4S;EFAPROV5S;EFAPROV6S;EFAPROV7S;EFAPROV8S;TOTALEF_APROV;EFREPROV9ANOS1S;EFREPROV9ANOS2S;EFREPROV9ANOS3S;EFREPROV9ANOS4S;EFREPROV9ANOS5S;EFREPROV9ANOS6S;EFREPROV9ANOS7S;EFREPROV9ANOS8S;EFREPROV9ANOS9S;EFREPROV1S;EFREPROV2S;EFREPROV3S;EFREPROV4S;EFREPROV5S;EFREPROV6S;EFREPROV7S;EFREPROV8S;TOTALEF_REPROV;CONCLUINTES_EF;EMABAND1S;EMABAND2S;EMABAND3S;EMABAND4S;TOTAL_EM_ABAND;EMREPROV1S;EMREPROV2S;EMREPROV3S;EMREPROV4S;TOTAL_EM_REPROV;EMAPROV1S;EMAPROV2S;EMAPROV3S;EMAPROV4S;TOTAL_EM_APROV;CONCLUINTES_EM;CONCLUINTES_EJA;EPAPROV;EPREPROV;EPABAND;EJAIABAND;EJAIAPROV;EJAIREPROV;EJAITOTAL;EJAIIABAND;EJAIIAPROV;EJAIIREPROV;EJAIITOTAL;EJATOTAL
35440024;2016;MUNICIPAL;JOSE CARLOS NICOLETO - ZITO, PROFESSOR;7503;SAO RAFAEL;SAO MATEUS;SAO MATEUS;LESTE;3;9;1;0;4;7;6;7;7;0;0;0;0;0;0;0;0;44;105;101;94;119;124;80;64;26;111;0;0;0;0;0;0;0;0;824;1;0;17;0;0;24;5;2;0;0;0;0;0;0;0;0;0;49;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35200025;2016;MUNICIPAL;JOSE CARLOS DE FIGUEIREDO FERRAZ, PREF.;505;ARTUR ALVIM;PENHA;PENHA;LESTE;0;0;1;0;1;0;1;0;2;0;0;0;0;0;0;0;0;5;84;88;87;120;93;102;98;31;94;0;0;0;0;0;0;0;0;797;0;0;3;0;1;3;0;0;0;0;0;0;0;0;0;0;0;7;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35087129;2016;MUNICIPAL;JOSE CANAVO FILHO, CEL.;1103;BRASILANDIA;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;NORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35237681;2016;MUNICIPAL;JOSE BUSTAMANTE, VER.;5903;PENHA;PENHA;PENHA;LESTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35052243;2016;MUNICIPAL;JOSE BONIFACIO DE ANDRADA E SILVA;7002;SANTANA;SANTANA/TUCURUVI;JACANA/TREMEMBE;NORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35055244;2016;MUNICIPAL;JOSE DE ANCHIETA, PE.;7408;SAO MIGUEL;SAO MIGUEL;SAO MIGUEL;LESTE;0;2;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;6;89;85;92;93;110;94;113;0;111;0;0;0;0;0;0;0;0;787;1;0;4;1;4;0;2;0;2;0;0;0;0;0;0;0;0;14;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35249993;2016;MUNICIPAL;JOSE KAUFFMANN , DR.;4205;JARAGUA;PIRITUBA;PIRITUBA;OESTE;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;109;97;73;96;107;120;104;21;112;0;0;0;0;0;0;0;0;839;1;1;10;0;0;0;7;5;10;0;0;0;0;0;0;0;0;34;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;0;0;0;0;10;123;75;208;208
35076200;2016;MUNICIPAL;JOSE ROSCHEL CHRISTI - JUCA ROCHA;5507;PARELHEIROS;PARELHEIROS;CAPELA DO SOCORRO;SUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35055438;2016;MUNICIPAL;AURELIO ARROBAS MARTINS, PROF.;5703;PARQUE DO CARMO;ITAQUERA;ITAQUERA;LESTE;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;89;62;59;96;65;91;90;0;92;0;0;0;0;0;0;0;0;644;0;0;6;0;0;5;6;0;0;0;0;0;0;0;0;0;0;17;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35408384;2016;MUNICIPAL;JOSEFA NICACIO ARAUJO, PROFA.;3610;ITAIM PAULISTA;ITAIM PAULISTA;SAO MIGUEL;LESTE;2;0;0;1;0;0;3;2;1;0;0;0;0;0;0;0;0;9;85;149;92;99;102;93;151;70;93;0;0;0;0;0;0;0;0;934;2;7;6;1;0;9;13;14;5;0;0;0;0;0;0;0;0;57;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35085546;2016;MUNICIPAL;JOSE VICENTE DA CUNHA, PROF.;7309;SAO MATEUS;SAO MATEUS;SAO MATEUS;LESTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35052681;2016;MUNICIPAL;JOSE VERISSIMO;7201;SAO LUCAS;VILA PRUDENTE;IPIRANGA;LESTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35399700;2016;MUNICIPAL;JOSE SARAMAGO;1904;CAPAO REDONDO;CAMPO LIMPO;CAMPO LIMPO;SUL;0;0;0;0;0;1;1;3;4;0;0;0;0;0;0;0;0;9;90;83;94;169;124;143;95;65;73;0;0;0;0;0;0;0;0;936;3;6;10;4;5;15;6;21;3;0;0;0;0;0;0;0;0;73;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35207901;2016;MUNICIPAL;JOSEMARIA ESCRIVA, BEM-AVENTURADO;6803;SACOMA;IPIRANGA;IPIRANGA;SUL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35054008;2016;MUNICIPAL;LAERTE RAMOS DE CARVALHO, PROF.;1601;CAMPO GRANDE;SANTO AMARO;SANTO AMARO;SUL;1;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;7;62;80;59;75;75;78;76;0;78;0;0;0;0;0;0;0;0;583;0;0;2;0;0;11;9;0;3;0;0;0;0;0;0;0;0;25;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35092629;2016;MUNICIPAL;JOSE MAURO DE VASCONCELOS;7307;SAO MATEUS;SAO MATEUS;SAO MATEUS;LESTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35560443;2016;MUNICIPAL;JOSE MARIO PIRES AZANHA, PROF.;7408;SAO MIGUEL;SAO MIGUEL;SAO MIGUEL;LESTE;1;0;0;1;1;2;2;0;1;0;0;0;0;0;0;0;0;8;119;117;95;97;100;94;82;0;67;0;0;0;0;0;0;0;0;771;0;2;3;0;0;11;14;0;11;0;0;0;0;0;0;0;0;41;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35055372;2016;MUNICIPAL;JOSE MARIA WHITAKER;7304;SAO MATEUS;SAO MATEUS;SAO MATEUS;LESTE;2;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;6;102;116;124;127;112;119;112;0;122;0;0;0;0;0;0;0;0;934;1;0;4;1;0;5;4;0;1;0;0;0;0;0;0;0;0;16;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;7;74;41;122;122
